2.589052,plastic hit static
3.519042,plastic hit static
4.523302,plastic hit static
5.518083,plastic hit static
6.484687,None None None
7.825521,plastic hit static
8.798115,None None None
9.789323,None None None
10.612625,plastic hit static
11.530625,plastic hit static
12.499990,plastic hit static
13.385375,plastic hit static
13.661875,plastic scratch static
13.973896,None None None
14.494208,None None None
15.119365,plastic scratch static
15.822229,None None None
16.075104,plastic scratch static
16.709614,plastic scratch static
17.039396,plastic hit static
17.722822,plastic scratch static
18.029074,None None None
19.322865,plastic hit static
20.068718,plastic scratch static
20.334126,plastic scratch static
21.069916,plastic scratch rigid-motion
21.414385,plastic scratch static
22.341053,None None None
22.962376,None None None
27.655428,plastic hit static
28.519260,plastic hit static
29.415344,plastic hit static
30.164156,None None None
31.108959,plastic hit static
32.015499,plastic hit static
32.627876,plastic hit rigid-motion
33.430595,plastic hit static
34.191906,plastic hit static
35.121075,plastic scratch static
36.099300,plastic scratch static
36.983448,None None None
37.839230,plastic hit static
38.667324,plastic hit static
39.581978,plastic scratch static
40.439907,None None None
40.882145,None None None
41.563175,plastic scratch static
42.499802,plastic scratch static
43.398167,plastic hit static
44.237835,plastic hit static
