2.333135,cloth hit deform
3.334760,cloth hit deform
4.416302,cloth hit deform
5.518239,cloth hit deform
6.509229,cloth hit deform
7.503302,cloth hit deform
8.460000,cloth hit deform
9.443927,None None None
10.435437,None None None
11.344958,None None None
13.487386,None None None
14.611333,None None None
15.758750,None None None
16.332958,cloth scratch deform
17.081146,cloth scratch deform
18.230885,None None None
19.167051,cloth hit static
20.090302,None None None
21.142771,None None None
22.095552,None None None
24.060417,cloth hit static
25.010635,cloth hit deform
26.028824,cloth hit deform
27.073978,cloth hit deform
28.121136,cloth hit deform
29.096874,cloth hit deform
30.079844,None None None
33.959198,cloth hit deform
34.936020,cloth hit deform
35.906231,cloth hit static
36.948509,cloth hit deform
38.079269,cloth scratch deform
39.116531,cloth scratch deform
