3.462781,None None None
4.816344,cloth hit deform
6.301479,None None None
7.463708,cloth hit static
8.519250,cloth hit static
9.532875,cloth hit static
10.547500,cloth hit static
11.474489,cloth hit static
12.405323,cloth hit static
13.402948,cloth hit static
14.319021,None None None
15.149187,cloth hit static
16.011791,cloth hit static
16.896708,cloth hit static
18.616426,cloth hit static
19.584187,cloth hit static
20.462948,cloth hit static
21.348917,None None None
22.197948,cloth hit static
23.046553,None None None
23.874062,cloth hit static
24.699926,cloth hit deform
25.482927,cloth hit deform
26.332865,cloth hit static
37.293552,None None None
38.172405,cloth hit static
40.361656,cloth hit static
41.244530,None None None
42.211136,None None None
