3.092552,wood hit static
4.305115,wood hit static
5.309865,wood hit static
6.268573,wood hit static
7.262510,wood hit static
8.328218,None None None
9.272677,None None None
10.127812,wood scratch static
11.008083,wood scratch static
14.922823,wood hit static
15.869740,wood scratch static
17.312271,wood None static
18.554697,wood hit static
20.412687,wood hit static
21.311543,wood hit static
22.238853,wood hit static
23.236740,None None None
24.086031,wood hit rigid-motion
24.959282,None None None
25.971937,wood hit static
26.910479,wood hit static
27.752604,wood hit static
28.644947,None None None
29.647688,None None None
30.641636,wood hit static
31.642635,wood hit static
32.550854,wood scratch static
33.621510,None None None
35.757595,wood hit static
37.795773,None None None
38.812500,wood scratch static
39.835709,None None None
